Administering_IC_K99,Congressional_District_K99,Department_K99,Organization_Name_K99,Organization_City_K99,Organization_State_K99,Organization_Type_K99,Funding_IC.s._K99,K99_inst_pub_priv,same_dept,same_insti,Administering_IC_R00,Congressional_District_R00,Department_R00,Organization_Name_R00,Organization_City_R00,Organization_State_R00,Organization_Type_R00,Fiscal_Year_R00,Funding_IC.s._R00,R00_inst_pub_priv,Grant_type,Retained_Y_N,years_to_obtain_R01,Obtained_R01,ga_gender,K99_pub_priv,R00_pub_priv,Top_25_NIH_funding_K99,Top_25_NIH_funding_R00
NIEHS,7,PUBLIC HEALTH & PREV MEDICINE,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NIEHS,Private,TRUE,FALSE,NIEHS,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2016,NIEHS,Private,R01,LEFT,6,YES,male,Private,Private,NO,YES
NCI,12,PUBLIC HEALTH & PREV MEDICINE,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NCI,public,FALSE,FALSE,NCI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2022,NCI,Private,Unknown,LEFT,0,NO,female,public,Private,YES,YES
NIEHS,12,PEDIATRICS,NEW_YORK_U_SCH_OF_MED_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NIEHS,Private,TRUE,TRUE,NIEHS,12,PEDIATRICS,NEW_YORK_U_SCH_OF_MED_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2022,NIEHS,Private,Unknown,STAYED,1,NO,female,Private,Private,NO,NO
NLM,3,BIOSTATISTICS & OTHER MATH SCI,OREGON_HEALTH_&_SCI_U_K99,PORTLAND,OR,SCHOOLS OF MEDICINE,NLM,Public,FALSE,FALSE,NLM,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2011,NLM,Private,Unknown,LEFT,11,NO,female,Public,Private,NO,YES
NIMH,7,PSYCHIATRY,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NIMH,Private,TRUE,TRUE,NIMH,7,PSYCHIATRY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2014,NIMH,Private,R01,STAYED,6,YES,male,Private,Private,YES,YES
NHLBI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,TRUE,NHLBI,18,SURGERY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2017,NHLBI,Private,R01,STAYED,5,YES,male,Private,Private,YES,YES
NIMH,27,NONE,CALIFORNIA_INST_OF_TECH_K99,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,NIMH,Private,FALSE,FALSE,NIMH,7,PHYSIOLOGY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2021,NIMH,Private,R01,LEFT,1,YES,female,Private,Private,NO,NO
NCI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_K99,NASHVILLE,TN,Independent Hospitals,NCI,Private,TRUE,TRUE,NCI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_R00,NASHVILLE,TN,Independent Hospitals,2021,NCI,Private,Unknown,STAYED,2,NO,male,Private,Private,NO,NO
NHLBI,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,TRUE,NHLBI,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2015,NHLBI,Private,Unknown,STAYED,7,NO,male,Private,Private,YES,YES
NIDA,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIDA,Private,TRUE,TRUE,NIDA,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2022,NIDA,Private,Unknown,STAYED,1,NO,male,Private,Private,YES,YES
NEI,5,MICROBIOLOGY/IMMUN/VIROLOGY,HARVARD_U_K99,CAMBRIDGE,MA,SCHOOLS OF ARTS AND SCIENCES,NEI,Private,FALSE,FALSE,NEI,3,OPHTHALMOLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2010,NEI,Private,R01,LEFT,10,YES,male,Private,Private,NO,YES
NINR,3,OTHER HEALTH PROFESSIONS,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF NURSING,NINR,Private,FALSE,TRUE,NINR,3,NONE,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF NURSING,2013,NINR,Private,Unknown,STAYED,9,NO,male,Private,Private,YES,YES
NIMH,7,NEUROSCIENCES,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NIMH,Private,FALSE,FALSE,NIMH,3,PSYCHIATRY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2008,NIMH,Private,R01,LEFT,3,YES,male,Private,Private,YES,YES
NICHD,13,PUBLIC HEALTH & PREV MEDICINE,COLUMBIA_U_HEALTH_SCI_K99,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,NICHD,Private,FALSE,FALSE,NICHD,3,FAMILY MEDICINE,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2022,NICHD,Private,Unknown,LEFT,1,NO,female,Private,Private,YES,YES
NCI,5,UROLOGY,EMORY_U_K99,ATLANTA,GA,SCHOOLS OF MEDICINE,NCI,Private,TRUE,TRUE,NCI,5,UROLOGY,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF MEDICINE,2018,NCI,Private,Unknown,STAYED,5,NO,male,Private,Private,YES,YES
NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,TRUE,NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2018,NCI,Private,DP2,STAYED,4,YES,male,Private,Private,YES,YES
NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,FALSE,FALSE,NCI,3,PATHOLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2022,NCI,Private,Unknown,LEFT,1,NO,male,Private,Private,YES,YES
NIBIB,18,RADIATION-DIAGNOSTIC/ONCOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIBIB,Private,TRUE,TRUE,NIBIB,18,RADIATION-DIAGNOSTIC/ONCOLOGY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2019,NIBIB,Private,Unknown,STAYED,3,NO,male,Private,Private,YES,YES
NHLBI,7,PATHOLOGY,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,TRUE,NHLBI,7,PUBLIC HEALTH & PREV MEDICINE,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF PUBLIC HEALTH,2015,NHLBI,Private,R01,STAYED,3,YES,male,Private,Private,YES,YES
NICHD,4,NEUROSCIENCES,U_OF_OREGON_K99,EUGENE,OR,ORGANIZED RESEARCH UNITS,NICHD,Public,TRUE,FALSE,NICHD,13,NEUROSCIENCES,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2014,NICHD,Private,R01,LEFT,4,YES,Unknown,Public,Private,NO,YES
NICHD,9,ANATOMY/CELL BIOLOGY,BAYLOR_COLL_OF_MED_K99,HOUSTON,TX,SCHOOLS OF MEDICINE,NICHD,Private,FALSE,FALSE,NICHD,1,OBSTETRICS & GYNECOLOGY,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2017,NICHD,Private,R01,LEFT,3,YES,male,Private,Private,NO,YES
NIMH,12,BIOLOGY,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NIMH,Private,FALSE,FALSE,NIMH,3,GENETICS,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2019,NIMH,Private,DP2,LEFT,3,YES,female,Private,Private,NO,YES
NHLBI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_K99,NASHVILLE,TN,Independent Hospitals,NHLBI,Private,TRUE,TRUE,NHLBI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_R00,NASHVILLE,TN,Independent Hospitals,2019,NHLBI,Private,DP2,STAYED,3,YES,male,Private,Private,NO,NO
NIAID,5,PATHOLOGY,EMORY_U_K99,ATLANTA,GA,SCHOOLS OF MEDICINE,NIAID,Private,TRUE,FALSE,NIAID,7,PATHOLOGY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2020,NIAID,Private,Unknown,LEFT,2,NO,male,Private,Private,YES,YES
NIDCD,12,OTOLARYNGOLOGY,NEW_YORK_U_SCH_OF_MED_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NIDCD,Private,FALSE,FALSE,NIDCD,7,PSYCHOLOGY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF ARTS AND SCIENCES,2018,NIDCD,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2017,NCI,Private,R01,LEFT,5,YES,female,Private,Private,YES,YES
NIA,4,UnavaiLABle,MAYO_CLINIC_JACKSONVILLE_K99,JACKSONVILLE,FL,Other Domestic Non-Profits,NIA,Private,FALSE,FALSE,NIA,5,PHARMACOLOGY,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF MEDICINE,2012,NIA,Private,R01,LEFT,5,YES,male,Private,Private,NO,YES
NEI,8,UnavaiLABle,SCHEPENS_EYE_RES_INST_K99,BOSTON,MA,Research Institutes,NEI,Private,FALSE,FALSE,NEI,13,OPHTHALMOLOGY,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2022,NEI,Private,Unknown,LEFT,1,NO,male,Private,Private,NO,YES
NIEHS,13,PUBLIC HEALTH & PREV MEDICINE,COLUMBIA_U_HEALTH_SCI_K99,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,NIEHS,Private,TRUE,TRUE,NIEHS,13,PUBLIC HEALTH & PREV MEDICINE,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,2021,NIEHS,Private,Unknown,STAYED,1,NO,female,Private,Private,YES,YES
NHLBI,12,UnavaiLABle,J_DAVID_GLADSTONE_INSTS_K99,SAN FRANCISCO,CA,Research Institutes,NHLBI,Private,FALSE,FALSE,NHLBI,7,INTERNAL MEDICINE/MEDICINE,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2011,NHLBI,Private,R01,LEFT,1,YES,male,Private,Private,NO,YES
NHLBI,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NHLBI,Private,TRUE,TRUE,NHLBI,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2010,NHLBI,Private,R01,STAYED,5,YES,female,Private,Private,YES,YES
NIAMS,13,UnavaiLABle,HENRY_FORD_HEALTH_SYSTEM_K99,DETROIT,MI,Independent Hospitals,NIAMS,Private,FALSE,FALSE,NIAMS,1,OTHER HEALTH PROFESSIONS,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2022,NIAMS,Public,Unknown,LEFT,0,NO,female,Private,Private,NO,YES
NHGRI,13,UnavaiLABle,NEW_YORK_STATE_PSY_K99,NEW YORK,NY,Independent Hospitals,NHGRI,Private,FALSE,FALSE,NHGRI,13,PSYCHIATRY,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2020,NHGRI,Private,Unknown,LEFT,3,NO,male,Private,Private,NO,YES
NHLBI,4,ANATOMY/CELL BIOLOGY,DUKE_U_K99,DURHAM,NC,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,TRUE,NHLBI,4,UnavaiLABle,DUKE_U_R00,DURHAM,NC,Domestic Higher Education,2014,NHLBI,Private,R01,STAYED,2,YES,female,Private,Private,YES,YES
NCI,4,RADIATION-DIAGNOSTIC/ONCOLOGY,DUKE_U_K99,DURHAM,NC,SCHOOLS OF MEDICINE,NCI,Private,TRUE,TRUE,NCI,4,RADIATION-DIAGNOSTIC/ONCOLOGY,DUKE_U_R00,DURHAM,NC,SCHOOLS OF MEDICINE,2018,NCI,Private,Unknown,STAYED,5,NO,male,Private,Private,YES,YES
NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIMH,Private,TRUE,TRUE,NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2017,NIMH,Private,R01,STAYED,5,YES,male,Private,Private,YES,YES
NCI,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_K99,NEW YORK,NY,Research Institutes,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2020,NCI,Private,Unknown,LEFT,3,NO,male,Private,Private,YES,YES
NIAID,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIAID,Private,TRUE,TRUE,NIAID,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2022,NIAID,Private,Unknown,STAYED,0,NO,male,Private,Private,YES,YES
NIMH,18,BIOMEDICAL ENGINEERING,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIMH,Private,FALSE,FALSE,NIMH,7,PHYSIOLOGY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2017,NIMH,Private,DP2,LEFT,2,YES,female,Private,Private,YES,NO
NICHD,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NICHD,Private,TRUE,FALSE,NICHD,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2011,NICHD,Private,Unknown,LEFT,12,NO,male,Private,Private,NO,YES
NIDCR,18,DENTISTRY,U_OF_PITTSBURGH_AT_PITTSBURGH_K99,PITTSBURGH,PA,SCHOOLS OF DENTISTRY/ORAL HYGN,NIDCR,Public,FALSE,FALSE,NIDCR,5,GENETICS,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF MEDICINE,2017,NIDCR,Private,R01,LEFT,3,YES,female,Public,Private,YES,YES
NICHD,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NICHD,Private,TRUE,TRUE,NICHD,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2021,NICHD,Private,Unknown,STAYED,2,NO,male,Private,Private,YES,YES
NIGMS,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_K99,SEATTLE,WA,Research Institutes,NIGMS,Private,FALSE,FALSE,NIGMS,3,BIOLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF ARTS AND SCIENCES,2015,NIGMS,Private,R35,LEFT,2,YES,female,Private,Private,YES,YES
NIA,33,GENETICS,U_OF_CALIFORNIA_LOS_ANGELES_K99,LOS ANGELES,CA,SCHOOLS OF MEDICINE,NIA,Public,FALSE,FALSE,NIA,3,PATHOLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2017,NIA,Private,R01,LEFT,0,YES,male,Public,Private,YES,YES
NIDDK,7,NUTRITION,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NIDDK,Private,FALSE,FALSE,NIDDK,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2022,NIDDK,Private,Unknown,LEFT,1,NO,male,Private,Private,NO,YES
NINR,3,OTHER HEALTH PROFESSIONS,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF NURSING,NINR,Private,FALSE,FALSE,NINR,7,NONE,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF NURSING,2019,NINR,Private,Unknown,LEFT,4,NO,male,Private,Private,YES,YES
NCI,7,BIOLOGY,HARVARD_MED_SCH_K99,BOSTON,MA,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,18,BIOCHEMISTRY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2015,NCI,Private,R01,LEFT,6,YES,female,Private,Private,NO,YES
NCI,18,RADIATION-DIAGNOSTIC/ONCOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NCI,Private,FALSE,TRUE,NCI,18,UnavaiLABle,STANFORD_U_R00,STANFORD,CA,Domestic Higher Education,2014,NCI,Private,R01,STAYED,3,YES,Unknown,Private,Private,YES,YES
NHLBI,7,ANATOMY/CELL BIOLOGY,HARVARD_MED_SCH_K99,BOSTON,MA,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,1,BIOCHEMISTRY,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2011,NHLBI,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NCI,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2009,NCI,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NIEHS,33,PUBLIC HEALTH & PREV MEDICINE,U_OF_CALIFORNIA_LOS_ANGELES_K99,LOS ANGELES,CA,SCHOOLS OF PUBLIC HEALTH,NIEHS,Public,TRUE,FALSE,NIEHS,3,PUBLIC HEALTH & PREV MEDICINE,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2018,NIEHS,Private,Unknown,LEFT,4,NO,male,Public,Private,YES,YES
NINDS,9,GENETICS,BAYLOR_COLL_OF_MED_K99,HOUSTON,TX,SCHOOLS OF MEDICINE,NINDS,Private,TRUE,FALSE,NINDS,3,GENETICS,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2010,NINDS,Private,R01,LEFT,4,YES,Unknown,Private,Private,NO,YES
NIBIB,18,RADIATION-DIAGNOSTIC/ONCOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIBIB,Private,FALSE,FALSE,NIBIB,4,INTERNAL MEDICINE/MEDICINE,DUKE_U_R00,DURHAM,NC,SCHOOLS OF MEDICINE,2009,NIBIB,Private,R01,LEFT,5,YES,male,Private,Private,YES,YES
NIMH,7,UnavaiLABle,WHITEHEAD_INST_FOR_BIOMED_RES_K99,CAMBRIDGE,MA,Research Institutes,NIMH,Private,FALSE,FALSE,NIMH,13,PHYSIOLOGY,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2020,NIMH,Private,R01,LEFT,2,YES,Unknown,Private,Private,NO,YES
NIDDK,1,INTERNAL MEDICINE/MEDICINE,WASHINGTON_U_K99,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,NIDDK,Private,TRUE,TRUE,NIDDK,1,INTERNAL MEDICINE/MEDICINE,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2014,NIDDK,Private,R01,STAYED,4,YES,male,Private,Private,YES,YES
NIDDK,12,GENETICS,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NIDDK,Private,FALSE,FALSE,NIDDK,3,VETERINARY SCIENCES,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2022,NIDDK,Private,Unknown,LEFT,0,NO,female,Private,Private,NO,YES
NIDDK,7,UnavaiLABle,DANA-FARBER_CANCER_INST_K99,BOSTON,MA,Independent Hospitals,NIDDK,Private,FALSE,FALSE,NIDDK,18,PATHOLOGY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2018,NIDDK,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NIDCD,7,MISCELLANEOUS,MASSACHUSETTS_INST_OF_TECH_K99,CAMBRIDGE,MA,ORGANIZED RESEARCH UNITS,NIDCD,Private,FALSE,FALSE,NIDCD,12,OTOLARYNGOLOGY,NEW_YORK_U_SCH_OF_MED_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2010,NIDCD,Private,R01,LEFT,3,YES,male,Private,Private,NO,NO
NCI,12,BIOLOGY,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NCI,Private,FALSE,FALSE,NCI,13,GENETICS,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2018,NCI,Private,R35,LEFT,3,YES,male,Private,Private,NO,YES
NINDS,7,NEUROSCIENCES,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NINDS,Private,TRUE,FALSE,NINDS,3,NEUROSCIENCES,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2011,NINDS,Private,R01,LEFT,3,YES,female,Private,Private,YES,YES
NHLBI,5,INTERNAL MEDICINE/MEDICINE,EMORY_U_K99,ATLANTA,GA,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,TRUE,NHLBI,5,INTERNAL MEDICINE/MEDICINE,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF MEDICINE,2015,NHLBI,Private,Unknown,STAYED,7,NO,female,Private,Private,YES,YES
NHLBI,5,BIOMEDICAL ENGINEERING,U_OF_VIRGINIA_K99,CHARLOTTESVILLE,VA,SCHOOLS OF MEDICINE,NHLBI,public,TRUE,FALSE,NHLBI,7,BIOMEDICAL ENGINEERING,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2009,NHLBI,Private,R01,LEFT,10,YES,Unknown,public,Private,NO,YES
NINDS,3,PHYSIOLOGY,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,TRUE,NINDS,3,NEUROSCIENCES,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2016,NINDS,Private,R01,STAYED,6,YES,female,Private,Private,YES,YES
NCI,12,PATHOLOGY,U_OF_MICHIGAN_AT_ANN_ARBOR_K99,ANN ARBOR,MI,SCHOOLS OF MEDICINE,NCI,Public,FALSE,FALSE,NCI,1,NONE,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2011,NCI,Private,R01,LEFT,6,YES,male,Public,Private,YES,YES
NHLBI,13,INTERNAL MEDICINE/MEDICINE,COLUMBIA_U_HEALTH_SCI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,TRUE,NHLBI,13,PUBLIC HEALTH & PREV MEDICINE,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,2021,NHLBI,Private,Unknown,STAYED,2,NO,female,Private,Private,YES,YES
NINDS,18,NEUROLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NINDS,Private,TRUE,FALSE,NINDS,13,NEUROLOGY,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2020,NINDS,Private,DP2,LEFT,2,YES,male,Private,Private,YES,YES
NIGMS,2,CHEMISTRY,U_OF_UTAH_K99,SALT LAKE CITY,UT,SCHOOLS OF ARTS AND SCIENCES,NIGMS,public,TRUE,FALSE,NIGMS,7,CHEMISTRY,NORTHWESTERN_U_R00,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,2022,NIGMS,Private,Unknown,LEFT,0,NO,male,public,Private,NO,NO
NIMH,7,PSYCHOLOGY,BOSTON_U_(CHARLES_RIVER_CAMPUS)_K99,BOSTON,MA,SCHOOLS OF ARTS AND SCIENCES,NIMH,Private,TRUE,FALSE,NIMH,5,PSYCHOLOGY,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF ARTS AND SCIENCES,2008,NIMH,Private,R01,LEFT,8,YES,male,Private,Private,NO,YES
NIMH,1,RADIATION-DIAGNOSTIC/ONCOLOGY,WASHINGTON_U_K99,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,NIMH,Private,TRUE,TRUE,NIMH,1,RADIATION-DIAGNOSTIC/ONCOLOGY,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2022,NIMH,Private,Unknown,STAYED,0,NO,male,Private,Private,YES,YES
NIAID,12,GENETICS,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NIAID,Private,FALSE,FALSE,NIAID,7,MICROBIOLOGY/IMMUN/VIROLOGY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF PUBLIC HEALTH,2018,NIAID,Private,Unknown,LEFT,5,NO,female,Private,Private,NO,YES
NCI,7,RADIATION-DIAGNOSTIC/ONCOLOGY,U_OF_ALABAMA_AT_BIRMINGHAM_K99,BIRMINGHAM,AL,SCHOOLS OF MEDICINE,NCI,public,TRUE,FALSE,NCI,3,RADIATION-DIAGNOSTIC/ONCOLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2017,NCI,Private,R01,LEFT,4,YES,female,public,Private,NO,YES
NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIMH,Private,TRUE,TRUE,NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2020,NIMH,Private,Unknown,STAYED,2,NO,female,Private,Private,YES,YES
NIGMS,3,BIOCHEMISTRY,YALE_U_K99,NEW HAVEN,CT,SCHOOLS OF MEDICINE,NIGMS,Private,FALSE,FALSE,NIGMS,18,PHARMACOLOGY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2022,NIGMS,Private,Unknown,LEFT,1,NO,female,Private,Private,YES,YES
